playerid,Name,BABIP_2016
15474,Lucas Giolito,0.271
12730,Nick Martinez,0.282
4138,Carlos Villanueva,0.319
8268,Ross Ohlendorf,0.265
4424,Jon Niese,0.313
2646,Brian Matusz,0.324
5705,Tim Lincecum,0.43200000000000005
8280,Tony Sipp,0.32299999999999995
3357,Cesar Ramos,0.316
11424,Anthony Ranaudo,0.252
8402,Steve Geltz,0.191
4300,Matt Albers,0.326
3926,Casey Fien,0.28800000000000003
13849,Jon Moscot,0.21600000000000003
6475,Kevin Jepsen,0.321
15627,Dillon Overton,0.396
9037,J.J. Hoover,0.33299999999999996
12520,Erik Johnson,0.32
9975,Tom Wilhelmsen,0.32899999999999996
11378,Tyrell Jenkins,0.265
3855,Brett Oberholtzer,0.306
2155,Alfredo Simon,0.361
7059,James Shields,0.302
11528,Josh Osich,0.22899999999999998
3196,Chris Young,0.317
