game_id,season,home_points,away_points,variable,value,points
4967,2004,97.0,101.0,away_team,New York Knicks,101.0
4968,2004,93.0,107.0,away_team,Indiana Pacers,107.0
4969,2004,66.0,78.0,away_team,San Antonio Spurs,78.0
4970,2004,107.0,111.0,away_team,Houston Rockets,111.0
4971,2004,110.0,103.0,away_team,Memphis Grizzlies,103.0
4972,2004,109.0,104.0,away_team,Golden State Warriors,104.0
4973,2004,96.0,98.0,away_team,Los Angeles Clippers,98.0
4974,2004,87.0,78.0,away_team,Detroit Pistons,78.0
4975,2004,137.0,132.0,away_team,Atlanta Hawks,132.0
4976,2004,97.0,91.0,away_team,Sacramento Kings,91.0
4977,2004,89.0,92.0,away_team,Dallas Mavericks,92.0
4978,2004,101.0,96.0,away_team,Chicago Bulls,96.0
4979,2004,87.0,118.0,away_team,Seattle SuperSonics,118.0
4980,2004,90.0,107.0,away_team,Minnesota Timberwolves,107.0
4981,2004,96.0,84.0,away_team,New Jersey Nets,84.0
4982,2004,87.0,89.0,away_team,Toronto Raptors,89.0
4983,2004,90.0,100.0,away_team,Cleveland Cavaliers,100.0
4984,2004,95.0,89.0,away_team,Philadelphia 76ers,89.0
4985,2004,104.0,105.0,away_team,Los Angeles Lakers,105.0
4986,2004,93.0,67.0,away_team,Denver Nuggets,67.0
4987,2004,84.0,89.0,away_team,Phoenix Suns,89.0
4988,2004,78.0,94.0,away_team,New Orleans Hornets,94.0
4990,2004,104.0,88.0,away_team,Boston Celtics,88.0
4991,2004,72.0,71.0,away_team,Houston Rockets,71.0
4992,2004,107.0,83.0,away_team,New York Knicks,83.0
4993,2004,98.0,74.0,away_team,Memphis Grizzlies,74.0
4994,2004,108.0,82.0,away_team,Milwaukee Bucks,82.0
4995,2004,81.0,79.0,away_team,New Orleans Hornets,79.0
4996,2004,106.0,92.0,away_team,Denver Nuggets,92.0
4997,2004,116.0,105.0,away_team,Dallas Mavericks,105.0
4998,2004,98.0,84.0,away_team,Houston Rockets,84.0
4999,2004,87.0,70.0,away_team,Memphis Grizzlies,70.0
5000,2004,103.0,90.0,away_team,Boston Celtics,90.0
5001,2004,99.0,81.0,away_team,New York Knicks,81.0
5002,2004,83.0,79.0,away_team,Dallas Mavericks,79.0
5003,2004,88.0,92.0,away_team,Milwaukee Bucks,92.0
5004,2004,93.0,63.0,away_team,New Orleans Hornets,63.0
5005,2004,95.0,81.0,away_team,Denver Nuggets,81.0
5006,2004,93.0,95.0,away_team,San Antonio Spurs,95.0
5007,2004,78.0,81.0,away_team,New Jersey Nets,81.0
5008,2004,85.0,108.0,away_team,Indiana Pacers,108.0
5009,2004,102.0,91.0,away_team,Los Angeles Lakers,91.0
5010,2004,104.0,79.0,away_team,Sacramento Kings,79.0
5011,2004,107.0,86.0,away_team,Minnesota Timberwolves,86.0
5012,2004,85.0,95.0,away_team,Detroit Pistons,95.0
5013,2004,77.0,71.0,away_team,Miami Heat,71.0
5014,2004,75.0,90.0,away_team,Indiana Pacers,90.0
5015,2004,88.0,92.0,away_team,Los Angeles Lakers,92.0
5016,2004,97.0,110.0,away_team,San Antonio Spurs,110.0
5017,2004,94.0,100.0,away_team,New Jersey Nets,100.0
5018,2004,92.0,94.0,away_team,Sacramento Kings,94.0
5019,2004,92.0,109.0,away_team,Detroit Pistons,109.0
5020,2004,82.0,84.0,away_team,Minnesota Timberwolves,84.0
5021,2004,96.0,85.0,away_team,Miami Heat,85.0
5022,2004,97.0,78.0,away_team,Houston Rockets,78.0
5023,2004,91.0,77.0,away_team,Milwaukee Bucks,77.0
5024,2004,119.0,118.0,away_team,Dallas Mavericks,118.0
5025,2004,87.0,83.0,away_team,New Orleans Hornets,83.0
5026,2004,102.0,91.0,away_team,Denver Nuggets,91.0
5027,2004,89.0,83.0,away_team,Miami Heat,83.0
5028,2004,88.0,78.0,away_team,Los Angeles Lakers,78.0
5029,2004,78.0,56.0,away_team,New Jersey Nets,56.0
5030,2004,85.0,77.0,away_team,New Orleans Hornets,77.0
5031,2004,98.0,104.0,away_team,Sacramento Kings,104.0
5032,2004,95.0,85.0,away_team,Los Angeles Lakers,85.0
