playerID,yearID,InnOuts,PO,A,E,playerID_2,yearID_2,InnOuts_2,PO_2,A_2,E_2
cabreor01,2008,4170.0,242.0,472.0,16.0,cabreor01,2009,4167.0,258.0,428.0,25.0
cabreor01,2009,4167.0,258.0,428.0,25.0,cabreor01,2010,3093.0,165.0,300.0,11.0
carusmi01,1998,3364.0,216.0,378.0,35.0,carusmi01,1999,3344.0,183.0,348.0,24.0
castrst01,2010,3222.0,183.0,334.0,27.0,castrst01,2011,4197.0,267.0,446.0,29.0
castrst01,2011,4197.0,267.0,446.0,29.0,castrst01,2012,4209.0,266.0,465.0,27.0
castrst01,2012,4209.0,266.0,465.0,27.0,castrst01,2013,4254.0,238.0,416.0,22.0
castrst01,2013,4254.0,238.0,416.0,22.0,castrst01,2014,3564.0,148.0,386.0,15.0
cedenro02,2010,3447.0,183.0,382.0,18.0,cedenro02,2011,3150.0,191.0,397.0,13.0
claytro01,1996,2993.0,171.0,347.0,15.0,claytro01,1997,3862.0,228.0,452.0,19.0
claytro01,1997,3862.0,228.0,452.0,19.0,claytro01,1998,3677.0,228.0,438.0,20.0
claytro01,1998,3677.0,228.0,438.0,20.0,claytro01,1999,3448.0,204.0,406.0,25.0
claytro01,1999,3448.0,204.0,406.0,25.0,claytro01,2000,3711.0,265.0,411.0,16.0
claytro01,2000,3711.0,265.0,411.0,16.0,claytro01,2001,3351.0,196.0,367.0,7.0
claytro01,2003,3654.0,193.0,396.0,14.0,claytro01,2004,3723.0,213.0,417.0,9.0
claytro01,2004,3723.0,213.0,417.0,9.0,claytro01,2005,3531.0,180.0,404.0,11.0
claytro01,2005,3531.0,180.0,404.0,11.0,claytro01,2006,3165.0,170.0,340.0,18.0
cozarza01,2012,3492.0,204.0,349.0,14.0,cozarza01,2013,3924.0,222.0,386.0,14.0
cozarza01,2013,3924.0,222.0,386.0,14.0,cozarza01,2014,3822.0,204.0,400.0,10.0
crawfbr01,2012,3303.0,195.0,394.0,18.0,crawfbr01,2013,3678.0,185.0,388.0,15.0
crawfbr01,2013,3678.0,185.0,388.0,15.0,crawfbr01,2014,3819.0,185.0,428.0,21.0
cruzde01,1997,3552.0,192.0,420.0,13.0,cruzde01,1998,3490.0,196.0,445.0,11.0
cruzde01,1998,3490.0,196.0,445.0,11.0,cruzde01,1999,3901.0,230.0,453.0,12.0
cruzde01,1999,3901.0,230.0,453.0,12.0,cruzde01,2000,4065.0,222.0,482.0,13.0
cruzde01,2000,4065.0,222.0,482.0,13.0,cruzde01,2001,2760.0,157.0,292.0,17.0
cruzde01,2001,2760.0,157.0,292.0,17.0,cruzde01,2002,3486.0,169.0,372.0,15.0
cruzde01,2002,3486.0,169.0,372.0,15.0,cruzde01,2003,3783.0,222.0,409.0,16.0
desmoia01,2010,3624.0,221.0,382.0,34.0,desmoia01,2011,3954.0,226.0,437.0,23.0
desmoia01,2011,3954.0,226.0,437.0,23.0,desmoia01,2012,3417.0,171.0,306.0,15.0
desmoia01,2012,3417.0,171.0,306.0,15.0,desmoia01,2013,4200.0,234.0,446.0,20.0
desmoia01,2013,4200.0,234.0,446.0,20.0,desmoia01,2014,4134.0,203.0,416.0,24.0
disarga01,1996,3870.0,212.0,460.0,20.0,disarga01,1997,3991.0,227.0,421.0,15.0
disarga01,1997,3991.0,227.0,421.0,15.0,disarga01,1998,4112.0,253.0,437.0,14.0
drewst01,2007,3849.0,212.0,409.0,17.0,drewst01,2008,3882.0,190.0,378.0,14.0
drewst01,2008,3882.0,190.0,378.0,14.0,drewst01,2009,3426.0,173.0,362.0,11.0
drewst01,2009,3426.0,173.0,362.0,11.0,drewst01,2010,3777.0,206.0,391.0,10.0
eckstda01,2001,3153.0,178.0,332.0,15.0,eckstda01,2002,3828.0,205.0,397.0,14.0
eckstda01,2002,3828.0,205.0,397.0,14.0,eckstda01,2003,2955.0,193.0,293.0,8.0
eckstda01,2003,2955.0,193.0,293.0,8.0,eckstda01,2004,3576.0,198.0,309.0,6.0
eckstda01,2004,3576.0,198.0,309.0,6.0,eckstda01,2005,4023.0,243.0,517.0,15.0
eckstda01,2005,4023.0,243.0,517.0,15.0,eckstda01,2006,3087.0,178.0,363.0,6.0
eckstda01,2006,3087.0,178.0,363.0,6.0,eckstda01,2007,2832.0,164.0,310.0,20.0
escobal02,2010,3453.0,174.0,358.0,20.0,escobal02,2011,4161.0,271.0,459.0,15.0
escobal02,2011,4161.0,271.0,459.0,15.0,escobal02,2012,4140.0,242.0,408.0,19.0
escobal02,2012,4140.0,242.0,408.0,19.0,escobal02,2013,4164.0,222.0,395.0,13.0
escobal02,2013,4164.0,222.0,395.0,13.0,escobal02,2014,4302.0,213.0,440.0,16.0
escobyu01,2008,3318.0,193.0,396.0,16.0,escobyu01,2009,3627.0,191.0,409.0,13.0
